mls_number,full_street_address,city,zip_code,latitude,longitude,geocode_status,listing_type,zip_source,audit_status,distance_outside_zip_miles
V1-37021VC,"28497 E Thousand Oaks BLVD #121, THOUSAND OAKS 91362",THOUSAND OAKS,91362,34.1792591,-118.8750913,,lease,source_column,outside_zip,3.9265834019432595
SR25016910MR,"10636 Woodley AVE #1, GRANADA HILLS 91344",None,91344,34.1992374,-118.4833134,,lease,address_suffix,outside_zip,3.9129343315308023
26925147,"14419 Riverside Dr #203, Sherman Oaks 91423",Sherman Oaks,91423,34.1524172,-118.3454072,success,lease,source_column,outside_zip,3.906722951646168
26868067,"14315 Riverside Dr #210, Los Angeles 91423",Los Angeles,91423,34.1524172,-118.3454072,success,lease,source_column,outside_zip,3.906722951646168
26657655,"10627 Moorpark ST #4, NORTH HOLLYWOOD 91602",NORTH HOLLYWOOD,91602,34.1543675,-118.4562638,,lease,source_column,outside_zip,3.886911025257018
SR25250228MR,"13525 Vanowen ST #102, VAN NUYS 91405",VAN NUYS,91405,34.1931942,-118.3552286,,lease,source_column,outside_zip,3.880791693318515
SB24246075MR,"10407 3/4 S Hoover ST, LOS ANGELES 90044",None,90044,34.0454841,-118.28423969999997,,lease,address_suffix,outside_zip,3.848455798505865
SR25230885MR,"12720 Burbank BLVD #304, VALLEY VILLAGE 91607",VALLEY VILLAGE,91607,34.1838355,-118.321608,,lease,source_column,outside_zip,3.837090783596077
SR26170959MR,"4722  E Avenue R4, PALMDALE 93552.0",PALMDALE,93552,34.5687713,-118.1248197,success,buy,source_column,outside_zip,3.7920318044091843
SR25233235MR,"12720 Burbank  #311, VALLEY VILLAGE 91607",VALLEY VILLAGE,91607,34.1841311,-118.3224514,,lease,source_column,outside_zip,3.7906766353918377
SR26061081MR,"12830 Burbank BLVD #305, VALLEY VILLAGE 91607",VALLEY VILLAGE,91607,34.1841331,-118.3224555,,lease,source_column,outside_zip,3.7904547827854187
26829637,"7925 Vineland Ave #11, Los Angeles 91352",Los Angeles,91352,34.145226,-118.3706851,success,lease,source_column,outside_zip,3.6997364551520477
26870213,"5614 Western  #2, Los Angeles 90062",Los Angeles,90062,34.071297,-118.309265,success,lease,source_column,outside_zip,3.6868163333824064
SR25158155MR,"10660 Wilshire BLVD #407, LOS ANGELES 90024",LOS ANGELES,90024,34.01992620000001,-118.4984886,,lease,source_column,outside_zip,3.656329203757989
SR25158167MR,"10660 Wilshire BLVD #407, LOS ANGELES 90024",LOS ANGELES,90024,34.01992620000001,-118.4984886,,lease,source_column,outside_zip,3.656329203757989
26669221,"4810 S La Brea Ave #210, Los Angeles 90008",Los Angeles,90008,34.0705934,-118.3436766,,lease,source_column,outside_zip,3.6529839811706992
CV26175754MR,"211 Magnolia AVE #106, GLENDALE 91502",GLENDALE,91502,34.1310775,-118.2551088,reused,lease,source_column,outside_zip,3.6398886825548655
SR26199975MR,"9569  E Avenue Y8, LITTLEROCK 93543.0",LITTLEROCK,93543,34.46259310000001,-117.8506393,success,buy,source_column,outside_zip,3.6267394317346584
26655173,"11081 ROSE AVE #10, Los Angeles 90034",Los Angeles,90034,33.9948803,-118.4801196,,lease,source_column,outside_zip,3.619196437303847
25-489688,"11133 ROSE AVE #15, LOS ANGELES 90034",None,90034,33.9950836,-118.4800854,,lease,address_suffix,outside_zip,3.609847597088514
26655179,"11081 ROSE AVE #28, Los Angeles 90034",Los Angeles,90034,33.9949362,-118.4795199,,lease,source_column,outside_zip,3.5883277168729935
26655171,"11081 ROSE AVE #25, Los Angeles 90034",Los Angeles,90034,33.9952726,-118.4797814,,lease,source_column,outside_zip,3.5881071909693647
SB26112950MR,"10747 Wilshire  #505, LOS ANGELES 90024",LOS ANGELES,90024,34.0202604,-118.4972636,,lease,source_column,outside_zip,3.587352412341924
26876317,"10390 WILSHIRE BLVD #511, LOS ANGELES 90024",LOS ANGELES,90024,34.0201757,-118.4970358,success,lease,source_column,outside_zip,3.5810116811036767
26987841,"10600 Wilshire Blvd #514, Los Angeles 90024",Los Angeles,90024,34.0200571,-118.4967637,success,lease,source_column,outside_zip,3.5742705256080667
26870935,"10751 Wilshire Blvd #603, Los Angeles 90024",Los Angeles,90024,34.0209386,-118.4964645,success,lease,source_column,outside_zip,3.522232504879399
26631997,"10375 Washington Blvd #210, Culver City 90232",Culver City,90232,33.9803453,-118.4646301,,lease,source_column,outside_zip,3.5028274007307765
26631999,"10375 Washington Blvd #315, Culver City 90232",Culver City,90232,33.9807234,-118.4647022,,lease,source_column,outside_zip,3.492667666923252
26829743,"1833 S St Andrews Pl #3, Los Angeles 90019",Los Angeles,90019,33.99033,-118.31122,,lease,source_column,outside_zip,3.4402967809212037
TR26145171MR,"3365 AVE  SANTA FE AVE #21, LONG BEACH 90810",LONG BEACH,90810,33.8960015,-118.2157985,,lease,source_column,outside_zip,3.409354924406393
26632003,"10375 Washington Blvd #412, Culver City 90232",Culver City,90232,33.9812783,-118.4631625,,lease,source_column,outside_zip,3.3973248794975723
26661775,"1238 W Adams Blvd #5, Los Angeles 90007",Los Angeles,90007,34.0321391,-118.3572595,,lease,source_column,outside_zip,3.237085824764991
26858557,"16144 W Sunset Blvd #6, Pacific Palisades 90272",Pacific Palisades,90272,34.0756425,-118.4446408,,lease,source_column,outside_zip,3.1460667478689617
SR25048182MR,"7549 Lexington Ave #3, WEST HOLLYWOOD 90046",None,90046,34.0935387,-118.289763,,lease,address_suffix,outside_zip,3.1236968621201946
